tid,row,col,cls
0,31,4238,4
0,41,4240,2
0,59,4722,3
0,74,3833,2
0,80,2756,4
0,87,3891,4
0,89,4441,4
0,94,4470,2
0,102,2946,2
0,103,4750,2
0,106,4835,0
0,109,2724,2
0,111,3925,2
0,134,4606,4
0,135,3018,4
0,140,3700,2
0,140,4421,4
0,148,4575,2
0,153,2620,4
0,156,2076,4
0,158,2643,2
0,163,3859,2
0,167,2141,2
0,168,4524,2
0,170,2433,4
0,171,4947,3
0,182,4803,2
0,183,3028,2
0,187,2482,2
0,193,3384,2
0,193,3749,2
0,193,3764,4
0,203,2089,2
0,205,2747,2
0,205,3075,4
0,207,2912,2
0,209,2136,4
0,210,2720,4
0,211,2544,4
0,211,2814,2
0,215,2331,2
0,219,3402,4
0,220,3793,4
0,220,3919,2
0,224,3828,2
0,225,3513,2
0,227,2559,2
0,237,2043,4
0,238,3252,2
0,244,2063,2
0,254,2451,4
0,255,3407,2
0,258,2962,2
0,267,3733,2
0,269,2339,2
0,271,2812,4
0,271,3096,2
0,275,2849,2
0,276,3756,4
0,277,2429,2
0,277,3590,4
0,280,2905,2
0,281,3401,4
0,284,3617,2
0,297,4344,2
0,304,3104,4
0,309,2609,0
0,311,4197,2
0,313,2926,4
0,318,2149,2
0,318,3577,2
0,320,3280,2
0,333,4544,4
0,339,3438,2
0,340,3888,2
0,341,3750,4
0,342,2708,2
0,343,2092,3
0,346,1814,2
0,354,3451,4
0,358,3733,2
0,358,3994,2
0,365,3281,3
0,377,4246,2
0,379,4557,2
0,385,3984,4
0,388,3609,4
0,389,2390,2
0,392,2946,4
0,400,2970,2
0,404,4075,2
0,406,4332,2
0,411,3143,2
0,412,2891,0
0,418,3464,3
0,419,3530,2
0,420,2535,4
0,422,3121,4
0,427,1924,2
0,427,4279,2
0,428,2664,4
0,429,3622,2
0,431,1823,0
0,432,3511,4
0,436,3867,2
0,445,4463,2
0,448,2434,4
0,449,3308,0
0,450,3985,2
0,450,4623,4
0,454,2683,2
0,455,4082,2
0,456,3376,2
0,456,3450,2
0,460,1885,4
0,462,3858,4
0,466,4656,2
0,472,4462,3
0,473,4105,0
0,480,4007,4
0,486,4065,2
0,488,1876,2
0,488,3208,2
0,490,4352,3
0,492,4305,3
0,499,3666,2
0,503,2193,4
0,504,4598,2
0,506,4633,3
0,509,3647,4
0,518,3941,2
0,521,3990,2
0,525,2741,4
0,525,2772,2
0,525,4384,3
0,528,4339,3
0,529,3466,2
0,531,1951,2
0,531,2181,2
0,531,3905,4
0,533,4482,3
0,546,3744,2
0,550,4009,2
0,552,3852,2
0,553,1834,2
0,553,4449,3
0,558,3243,2
0,558,4666,2
0,561,1923,2
0,563,4432,3
0,565,3438,4
0,575,3616,2
0,575,4445,3
0,587,3984,4
0,603,2727,0
0,608,2884,4
0,625,3796,4
0,636,2895,2
0,636,3932,2
0,638,2207,4
0,641,1916,2
0,641,2047,2
0,646,2837,4
0,649,2226,2
0,649,4268,4
0,651,3385,2
0,653,3806,2
0,656,4055,2
0,663,3876,4
0,665,3923,4
0,675,4297,2
0,693,2365,2
0,698,4077,4
0,706,1997,4
0,706,3986,4
0,707,2163,2
0,714,4397,2
0,720,3971,2
0,725,2018,2
0,728,2931,2
0,741,4214,2
0,742,2352,2
0,745,2163,4
0,747,4361,4
0,748,2272,2
0,762,2189,2
0,762,2836,1
0,773,2256,2
0,774,2915,2
0,779,3107,2
0,782,2092,4
0,791,2113,2
0,792,2235,4
0,792,3002,2
0,805,1873,0
0,807,3302,2
0,819,2585,2
0,819,3116,4
0,822,4171,2
0,824,3466,2
0,826,2465,2
0,826,2879,2
0,835,2953,4
0,835,3215,4
0,840,2486,4
0,845,3552,4
0,845,3960,2
0,848,3164,4
0,852,4092,4
0,855,2146,0
0,857,2344,2
0,863,2082,2
0,863,3639,4
0,863,4365,2
0,865,4327,4
0,871,3546,2
0,873,2747,2
0,873,4121,2
0,874,3085,2
0,881,3320,3
0,883,2937,4
0,888,3634,2
0,890,3448,2
0,895,3412,4
0,896,2771,4
0,897,2334,2
0,898,3148,4
0,905,2308,4
0,918,3218,2
0,920,2606,4
0,924,3083,4
0,930,3396,2
0,936,2595,2
0,943,3336,2
0,944,3009,2
0,955,2953,4
0,961,2617,4
0,963,2852,2
0,964,2134,2
0,964,3650,2
0,966,3317,4
0,973,4366,0
0,981,2909,4
0,982,2596,2
0,982,3245,2
0,987,2195,4
0,987,3668,4
0,989,2010,4
0,989,3565,0
0,992,2232,2
0,992,3143,4
0,999,2075,2
0,999,4145,2
0,1008,1992,2
0,1009,2772,4
0,1015,3083,2
0,1015,3193,4
0,1016,2923,4
0,1018,3215,2
