train_id,adult_males,subadult_males,adult_females,juveniles,pups
0,62,12,486,42,344
1,2,20,0,12,0
2,2,0,37,19,0
4,6,9,2,0,0
5,6,4,14,4,19
6,2,5,20,18,0
8,9,5,76,4,51
10,5,4,7,5,0
11,3,5,36,13,0
12,8,9,13,1,7
13,1,5,20,13,0
14,1,1,0,27,0
15,2,3,33,56,0
16,1,1,32,35,0
17,4,4,60,18,0
18,2,3,0,0,0
19,7,3,34,24,1
20,7,21,31,4,1
22,1,1,0,5,0
23,1,0,1,6,0
24,4,2,0,0,0
25,1,2,0,0,0
26,0,8,0,4,0
27,1,4,0,8,0
28,2,0,0,0,0
29,4,4,44,15,0
31,3,2,20,76,1
32,18,6,159,18,111
33,0,1,18,8,0
35,4,1,0,0,0
36,8,17,0,0,0
37,1,2,5,0,0
38,3,0,33,0,0
39,10,14,62,10,15
40,2,2,62,7,0
41,15,0,85,18,59
42,7,4,10,1,0
43,28,4,338,47,189
44,3,2,25,15,0
45,4,7,100,27,0
46,1,4,0,0,0
47,13,14,48,3,33
48,5,10,66,24,0
49,0,0,4,15,0
50,1,0,0,0,0
51,9,13,10,35,0
52,2,3,20,23,0
53,2,1,15,6,0
54,2,5,22,26,0
55,6,2,59,74,0
56,9,3,91,5,93
57,2,1,0,0,0
58,38,17,143,71,145
59,6,4,16,55,1
60,5,4,0,0,0
61,0,0,1,0,0
62,6,2,221,28,1
63,7,22,58,15,59
64,5,5,6,0,0
65,29,8,267,14,270
66,9,5,23,17,2
67,9,3,30,4,25
68,4,3,3,0,0
69,4,2,46,31,14
70,9,11,15,636,0
72,13,3,56,37,20
73,3,0,20,6,7
74,1,2,0,4,0
75,3,1,0,34,0
76,5,3,0,0,0
77,19,11,136,37,83
78,2,2,6,0,5
79,11,5,37,0,26
80,0,12,0,19,0
82,0,0,37,17,0
83,5,2,45,41,0
84,1,1,0,12,0
85,0,1,0,0,0
86,2,2,4,2,2
87,7,1,43,16,0
88,1,2,1,24,0
90,1,0,17,12,0
91,17,0,229,1,156
92,3,5,1,1,1
93,23,21,144,100,62
94,4,4,17,0,0
95,5,0,19,58,0
96,9,3,167,5,0
98,0,6,0,0,0
99,3,1,11,68,0
100,12,3,50,4,27
101,10,0,85,56,0
102,13,0,92,3,73
103,3,0,0,0,0
104,3,3,38,43,0
105,2,0,32,13,3
106,0,4,0,5,0
107,7,11,3,1,2
108,3,4,0,3,0
109,4,2,35,4,27
110,16,8,95,13,79
111,23,9,123,40,80
112,11,20,387,190,0
113,0,9,10,3,0
114,5,7,12,0,9
115,0,13,0,4,0
116,0,0,4,9,0
117,0,1,1,0,0
118,1,1,10,43,0
119,7,7,19,2,11
120,2,0,5,1,3
121,6,1,90,7,67
122,11,43,37,14,0
123,0,0,1,0,0
124,19,8,104,84,46
125,6,1,36,29,8
126,35,14,127,7,117
127,1,9,15,64,0
128,11,22,53,43,0
129,0,3,0,36,0
130,13,30,43,17,0
131,5,11,25,73,2
132,2,2,0,0,0
133,1,1,2,2,0
134,3,2,14,6,0
135,1,0,10,4,0
136,1,9,3,21,0
137,6,3,0,0,0
138,1,0,25,12,0
139,2,4,9,0,8
140,1,2,0,0,0
141,5,28,0,16,0
142,1,1,3,5,0
143,0,1,0,0,0
144,8,0,18,0,20
145,4,9,60,70,0
146,4,1,24,23,5
147,6,4,44,4,26
148,0,3,0,5,0
149,2,5,0,2,0
150,0,2,0,0,0
152,5,4,0,0,0
153,12,27,0,0,0
154,6,13,62,25,0
155,23,11,114,5,64
156,2,1,11,0,0
157,1,1,15,0,0
158,20,0,90,3,87
159,0,6,0,0,0
160,12,5,199,65,30
161,2,5,5,0,0
162,4,1,58,37,0
163,11,8,89,15,72
164,32,15,248,14,169
165,2,5,4,3,0
166,5,5,56,25,0
167,1,0,0,0,0
168,6,4,5,101,0
169,4,2,35,14,11
170,10,0,82,4,67
171,0,23,3,37,0
172,2,0,6,23,0
173,4,0,6,6,0
174,4,0,35,0,29
175,2,0,4,17,0
176,17,9,92,6,56
177,2,10,0,8,0
178,2,0,1,0,0
179,0,5,0,1,0
180,3,1,7,4,0
181,6,6,48,37,2
182,1,2,13,10,0
183,6,7,31,28,0
185,8,1,13,0,8
186,3,4,112,146,0
187,54,14,592,8,434
188,1,3,10,19,0
189,64,40,382,23,135
190,1,0,2,6,0
191,1,5,0,0,0
192,1,0,0,0,0
193,2,1,29,15,0
194,1,0,0,0,0
195,4,0,63,24,0
196,12,8,106,11,64
197,7,3,80,6,62
198,3,2,0,0,0
199,1,0,0,0,0
200,36,3,56,2,5
201,9,2,44,13,33
202,3,0,11,23,0
203,8,8,43,59,2
204,4,8,1,6,1
205,14,1,135,10,68
206,0,5,1,19,1
207,0,2,0,2,0
208,4,3,0,0,0
209,4,9,0,1,0
210,2,9,1,15,0
211,19,4,185,20,243
212,4,6,16,0,0
213,11,12,26,44,6
214,4,0,18,5,5
216,5,0,28,0,33
217,16,4,140,12,142
218,0,2,0,1,0
219,11,7,37,39,0
220,0,1,0,0,0
221,6,1,26,9,2
222,2,0,0,0,0
223,0,0,1,0,0
224,12,1,58,3,68
225,0,1,22,6,0
226,17,8,207,3,144
227,5,1,52,111,0
228,1,9,61,38,0
229,1,1,0,1,0
230,0,0,16,5,0
231,7,4,7,1,1
232,9,2,21,1,16
233,1,0,0,0,0
235,29,3,277,99,135
236,3,0,29,44,0
237,0,1,29,38,0
238,3,3,8,1,3
239,4,10,8,17,0
240,25,8,161,23,114
241,3,0,101,54,0
243,4,0,0,0,0
244,1,1,3,13,0
245,7,2,74,29,8
246,5,3,24,31,1
247,3,1,34,18,0
248,4,0,64,34,0
249,4,8,13,38,0
250,2,4,2,0,0
251,1,0,5,31,0
252,21,2,105,15,67
253,2,0,0,0,0
254,2,9,7,1,6
255,0,3,0,0,0
256,15,0,92,53,59
257,1,11,23,53,9
258,19,11,350,265,1
259,3,3,32,20,0
260,3,1,8,51,0
261,3,4,29,9,2
262,3,0,34,31,5
263,12,2,57,32,23
264,0,0,3,3,0
265,1,5,0,0,0
266,4,0,39,35,0
267,14,8,62,14,44
269,3,2,0,0,0
270,3,0,21,29,0
271,30,7,288,34,217
272,0,2,0,4,0
273,14,3,296,7,250
274,1,0,0,0,0
275,0,1,25,40,0
276,6,3,37,0,0
277,5,6,68,102,0
278,5,0,18,19,2
279,1,0,8,4,0
280,12,5,19,3,29
281,3,3,51,20,0
282,0,3,3,0,0
283,4,7,26,12,0
284,2,0,16,15,0
285,0,2,0,0,0
286,2,2,0,0,0
287,10,8,1,0,0
288,4,0,12,15,1
289,0,2,38,15,0
291,39,20,275,23,237
292,5,5,49,42,1
293,6,4,38,2,31
294,1,1,2,5,0
295,16,6,51,29,26
296,1,6,0,2,0
297,3,36,24,39,0
298,22,10,172,18,183
299,27,9,209,32,55
300,6,3,7,11,0
301,6,3,67,5,35
302,1,0,0,34,0
303,1,2,0,25,0
304,2,3,0,82,0
305,1,2,3,0,0
306,14,4,71,45,17
307,8,0,17,6,17
308,0,2,4,2,0
309,5,0,61,23,8
310,4,8,95,30,0
312,1,1,21,14,0
313,5,3,83,30,0
314,1,2,0,0,0
315,1,2,0,0,0
316,5,0,0,1,0
317,1,2,34,16,0
318,2,9,33,42,1
319,17,12,145,68,49
320,16,4,227,39,11
321,2,3,0,1,0
322,8,3,63,22,10
323,3,0,1,0,1
324,2,3,12,33,0
325,0,2,2,79,0
326,1,3,69,80,0
327,0,2,4,0,0
328,6,4,18,4,13
329,18,3,72,6,49
330,1,0,25,66,0
332,10,4,57,27,21
333,0,15,0,74,0
334,9,14,21,39,9
335,6,36,18,12,0
336,10,2,77,18,27
337,0,3,4,86,0
338,37,7,275,41,248
339,2,2,5,0,0
340,21,4,181,23,145
341,0,1,0,1,0
342,3,0,21,16,0
343,2,1,4,2,3
345,1,0,16,2,0
346,7,1,46,39,0
347,10,55,2,23,0
348,0,2,0,17,0
349,24,29,21,11,0
350,4,13,0,0,0
351,1,0,0,0,0
352,2,1,0,0,0
353,5,4,78,29,0
354,2,1,31,4,0
355,0,4,0,1,0
356,0,0,1,0,0
357,4,1,0,0,0
358,0,3,0,38,0
359,10,4,51,12,46
360,2,4,23,77,0
361,27,1,146,38,54
362,18,1,127,4,97
363,1,7,4,53,1
364,6,0,24,0,45
365,3,6,0,0,0
366,1,1,2,2,0
367,15,4,99,4,55
368,6,0,37,3,34
369,8,41,0,24,0
370,9,4,43,7,16
371,15,2,62,5,49
372,29,6,136,33,82
373,12,6,69,54,6
374,0,0,36,43,0
375,3,0,0,0,0
376,2,3,24,4,0
377,8,5,27,2,29
378,5,1,43,1,0
379,4,7,23,45,5
381,1,0,0,0,0
382,1,0,12,22,0
383,8,8,70,124,0
385,2,2,0,1,0
386,4,1,15,8,10
387,2,0,0,0,0
388,1,0,12,24,0
389,0,1,42,14,0
390,4,5,4,2,3
391,7,3,8,0,8
392,2,0,15,19,0
393,7,6,33,2,21
394,1,2,0,0,0
395,2,0,25,15,0
396,1,11,0,2,0
397,2,1,2,0,0
398,0,4,0,11,0
399,6,13,30,70,0
400,3,1,7,0,0
401,8,8,33,32,16
402,6,11,300,71,0
403,1,17,22,195,2
404,2,0,12,1,6
405,1,2,4,7,0
407,5,2,4,0,0
408,9,5,45,2,34
409,4,0,13,6,1
410,1,2,0,0,0
411,17,0,329,345,0
412,5,7,104,61,0
413,8,2,0,0,0
414,3,7,10,13,0
415,4,0,20,2,0
416,2,34,7,340,0
417,6,2,4,0,0
418,10,6,140,150,0
419,3,1,0,0,0
420,8,6,13,4,16
422,10,0,93,19,90
423,0,4,0,4,0
424,1,0,34,18,0
425,0,1,14,16,0
426,2,6,11,42,5
427,1,3,4,28,0
428,1,0,1,1,0
429,3,18,19,25,0
430,4,0,10,6,1
431,0,2,5,8,0
432,4,8,23,23,0
433,0,3,5,43,0
434,7,3,21,101,0
435,0,4,1,19,0
436,2,1,0,0,0
437,30,1,218,4,192
438,15,6,169,0,123
439,2,3,21,16,0
440,2,13,4,7,0
441,1,0,8,15,0
442,1,2,5,23,0
443,4,1,12,35,0
444,1,4,0,0,0
445,1,0,11,16,0
446,9,1,62,19,32
447,0,4,0,2,0
448,1,1,2,1,1
449,1,6,0,0,0
450,1,0,0,0,0
451,2,3,44,29,0
452,35,7,207,9,100
453,2,1,9,20,0
454,2,5,22,35,1
455,3,0,49,17,2
456,3,3,5,0,0
457,2,1,5,13,0
458,1,9,7,6,0
459,15,7,58,3,30
460,1,1,22,20,0
461,1,2,17,40,0
462,14,6,60,6,58
463,6,0,57,7,7
464,0,1,0,16,0
465,10,2,94,171,0
466,3,1,9,3,7
467,1,4,0,0,0
468,8,14,39,10,0
470,0,0,1,1,0
471,4,2,7,4,0
472,6,4,45,15,0
473,2,0,19,60,0
474,1,2,7,26,0
476,9,0,42,39,0
477,9,5,50,16,14
478,8,9,49,13,44
479,5,4,0,0,0
480,3,2,30,9,1
481,3,2,4,45,0
482,7,1,44,6,33
483,1,2,3,30,0
484,6,40,0,5,0
485,10,6,45,35,0
486,3,2,0,1,1
487,3,0,0,0,0
488,6,11,145,78,0
489,2,0,2,16,0
491,0,1,9,4,0
492,2,1,9,21,1
493,0,21,0,65,0
494,24,44,72,19,53
495,2,0,20,2,20
496,0,2,5,0,4
497,1,2,0,0,0
498,0,1,1,19,0
500,2,6,0,1,0
501,2,0,2,3,0
502,6,3,59,32,0
503,0,5,6,31,0
504,2,0,0,3,0
505,1,8,0,41,0
506,0,0,9,21,0
508,0,0,4,1,0
509,23,10,86,63,43
510,5,1,0,0,0
511,3,4,16,27,0
512,1,4,0,0,0
513,7,0,8,2,7
514,6,3,260,109,0
515,0,8,2,1,0
516,13,3,92,14,61
517,2,1,4,0,0
518,4,7,59,30,0
519,6,3,44,17,13
520,6,2,21,0,0
521,1,0,7,5,0
522,5,3,67,43,5
